证券简称,报告期,归属母公司所有者净利润(元),营业利润(元),证券代码,营业成本(元),营业收入(元),每股经营现金流量(元),净资产收益率,每股净资产(元),每股收益(元),营业利润率,毛利率
国机汽车,2023-03-31,98458783.06,141263155.8,600335,9580918942.25,10216614711.12,0.968,0.868,7.5836,0.065824,1.383,6.22
澳柯玛,2023-03-31,30336536.05,35111365.82,600336,2145669894.84,2484717292.35,-0.138,1.204,3.1569,0.038015,1.413,13.65
美克家居,2023-03-31,-49027837.31,-65793473.75,600337,594094943.79,1116726929.07,-0.009,-1.194,2.7456,-0.032774,-5.892,46.8
西藏珠峰,2023-03-31,4367126.59,-12039302.59,600338,223976224.06,503165872.67,0.317,0.128,3.719,0.004777,-2.393,55.49
中油工程,2023-03-31,207452959.55,373563889.09,600339,13553056929.23,14988936344.96,-1.663,0.808,4.5999,0.037157,2.492,9.58
华夏幸福,2023-03-31,738159911.41,-162903269.02,600340,5068935406.21,5875613598.41,0.042,6.623,2.8478,0.189595,-2.773,13.73
航天动力,2023-03-31,-12201989.54,-12115209.1,600343,109505753.22,146717501.35,-0.092,-0.66,2.8982,-0.019119,-8.258,25.36
长江通信,2023-03-31,29090766.99,29059047.21,600345,29372432.49,32185382.95,-0.142,1.309,11.2241,0.146923,90.286,8.74
恒力石化,2023-03-31,1019697867.45,1279781552.53,600346,50944729601.19,56144451894.08,1.694,1.893,7.6539,0.144862,2.279,9.26
华阳股份,2023-03-31,1726969796.75,2534495404.41,600348,4806387146.82,8379217465.19,0.438,6.081,11.3978,0.718075,30.247,42.64
山东高速,2023-03-31,810493602.27,1345960206.18,600350,2747190244.85,4420702472.64,0.243,2.009,6.2668,0.167901,30.447,37.86
亚宝药业,2023-03-31,107419836.15,130496444.86,600351,330777360.22,800499169.06,0.123,3.491,3.9964,0.139506,16.302,58.68
浙江龙盛,2023-03-31,343678131.76,532806426.96,600352,2746387565.72,3748527750.79,0.467,1.061,9.9553,0.105639,14.214,26.73
旭光电子,2023-03-31,18224735.44,22298215.0,600353,188571506.89,255978473.9,-0.156,1.087,2.831,0.030785,8.711,26.33
敦煌种业,2023-03-31,24680371.34,84385807.57,600354,225502345.57,351206675.36,0.06,3.712,1.2598,0.046761,24.027,35.79
