date,code,high,low,close,code_name
2022-11-01,sz.002594,262.2,247.0,261.82,比亚迪
2022-11-01,sz.300316,74.17,70.2,73.0,晶盛机电
2022-11-02,sh.600036,28.7,27.85,28.42,招商银行
2022-11-02,sh.600389,42.7,41.52,42.24,江山股份
2022-11-02,sh.600519,1506.0,1436.0,1471.96,贵州茅台
2022-11-02,sh.601012,52.36,50.25,51.56,隆基绿能
2022-11-02,sh.688598,258.4,242.01,253.86,金博股份
2022-11-02,sz.002594,271.6,258.36,267.56,比亚迪
2022-11-02,sz.300316,76.6,72.28,75.0,晶盛机电
2022-11-03,sh.600036,28.38,27.88,28.05,招商银行
2022-11-03,sh.600389,43.54,41.75,42.56,江山股份
2022-11-03,sh.600519,1462.5,1428.1,1439.5,贵州茅台
2022-11-03,sh.601012,53.36,49.91,50.12,隆基绿能
2022-11-03,sh.688598,259.28,251.01,254.69,金博股份
2022-11-03,sz.002594,271.76,264.1,267.98,比亚迪
2022-11-03,sz.300316,78.37,73.96,76.32,晶盛机电
2022-11-04,sh.600036,29.25,27.99,29.08,招商银行
2022-11-04,sh.600389,44.89,42.56,44.67,江山股份
2022-11-04,sh.600519,1527.77,1437.96,1516.57,贵州茅台
2022-11-04,sh.601012,52.63,50.04,52.4,隆基绿能
2022-11-04,sh.688598,265.79,254.39,264.83,金博股份
2022-11-04,sz.002594,283.02,268.0,280.2,比亚迪
2022-11-04,sz.300316,78.11,76.05,77.7,晶盛机电
2022-11-07,sh.600036,29.43,28.62,29.16,招商银行
2022-11-07,sh.600389,47.5,44.33,45.91,江山股份
2022-11-07,sh.600519,1518.48,1486.59,1507.11,贵州茅台
2022-11-07,sh.601012,52.5,51.45,52.11,隆基绿能
2022-11-07,sh.688598,268.2,260.03,264.01,金博股份
2022-11-07,sz.002594,282.03,272.99,278.88,比亚迪
2022-11-07,sz.300316,78.69,76.2,76.65,晶盛机电
2022-11-08,sh.600036,29.38,28.94,29.15,招商银行
2022-11-08,sh.600389,46.58,45.28,46.4,江山股份
2022-11-08,sh.600519,1517.99,1468.96,1484.88,贵州茅台
2022-11-08,sh.601012,52.23,50.89,51.32,隆基绿能
2022-11-08,sh.688598,268.04,258.0,263.71,金博股份
2022-11-08,sz.002594,282.6,273.5,276.41,比亚迪
2022-11-08,sz.300316,77.08,74.82,75.48,晶盛机电
2022-11-09,sh.600036,29.55,29.0,29.18,招商银行
2022-11-09,sh.600389,48.19,46.35,46.88,江山股份
2022-11-09,sh.600519,1488.88,1450.0,1459.9,贵州茅台
2022-11-09,sh.601012,51.33,49.6,49.96,隆基绿能
2022-11-09,sh.688598,265.86,258.2,258.53,金博股份
2022-11-09,sz.002594,278.88,268.64,269.63,比亚迪
2022-11-09,sz.300316,76.08,73.0,73.38,晶盛机电
2022-11-10,sh.600036,29.3,28.77,29.19,招商银行
2022-11-10,sh.600389,47.09,45.07,45.3,江山股份
2022-11-10,sh.600519,1485.0,1435.15,1475.0,贵州茅台
2022-11-10,sh.601012,49.31,48.02,48.36,隆基绿能
2022-11-10,sh.688598,261.0,249.51,252.7,金博股份
2022-11-10,sz.002594,264.97,255.8,260.26,比亚迪
2022-11-10,sz.300316,74.51,71.25,72.1,晶盛机电
2022-11-11,sh.600036,31.8,29.71,31.24,招商银行
2022-11-11,sh.600389,46.57,45.2,45.22,江山股份
2022-11-11,sh.600519,1544.45,1494.98,1528.15,贵州茅台
2022-11-11,sh.601012,50.37,47.8,48.34,隆基绿能
2022-11-11,sh.688598,263.55,248.7,253.5,金博股份
2022-11-11,sz.002594,272.97,265.16,268.8,比亚迪
2022-11-11,sz.300316,74.5,71.38,71.65,晶盛机电
2022-11-14,sh.600036,33.69,32.33,33.14,招商银行
2022-11-14,sh.600389,46.0,43.94,44.05,江山股份
2022-11-14,sh.600519,1563.53,1528.0,1533.0,贵州茅台
2022-11-14,sh.601012,48.58,47.0,47.35,隆基绿能
2022-11-14,sh.688598,253.95,238.88,242.0,金博股份
2022-11-14,sz.002594,272.54,262.76,263.79,比亚迪
2022-11-14,sz.300316,73.35,69.51,70.13,晶盛机电
2022-11-15,sh.600036,33.83,32.75,33.28,招商银行
2022-11-15,sh.600389,45.1,43.88,44.65,江山股份
2022-11-15,sh.600519,1598.97,1521.0,1588.0,贵州茅台
2022-11-15,sh.601012,48.25,47.16,47.97,隆基绿能
2022-11-15,sh.688598,256.66,240.73,255.8,金博股份
2022-11-15,sz.002594,268.3,260.1,267.0,比亚迪
2022-11-15,sz.300316,71.64,69.51,71.41,晶盛机电
2022-11-16,sh.600036,33.48,32.86,33.38,招商银行
2022-11-16,sh.600389,44.59,43.16,43.75,江山股份
2022-11-16,sh.600519,1598.0,1568.0,1585.25,贵州茅台
2022-11-16,sh.601012,47.85,46.5,46.65,隆基绿能
2022-11-16,sh.688598,257.99,249.11,250.39,金博股份
2022-11-16,sz.002594,266.6,260.1,261.08,比亚迪
2022-11-16,sz.300316,73.3,70.9,72.38,晶盛机电
2022-11-17,sh.600036,33.3,32.0,32.31,招商银行
2022-11-17,sh.600389,43.52,42.64,42.82,江山股份
2022-11-17,sh.600519,1596.3,1552.88,1567.0,贵州茅台
2022-11-17,sh.601012,46.72,45.72,46.47,隆基绿能
2022-11-17,sh.688598,250.26,234.0,239.82,金博股份
2022-11-17,sz.002594,259.91,253.58,257.0,比亚迪
2022-11-17,sz.300316,72.3,67.31,68.27,晶盛机电
2022-11-18,sh.600036,32.68,31.83,32.07,招商银行
2022-11-18,sh.600389,43.02,42.07,42.38,江山股份
2022-11-18,sh.600519,1584.0,1556.0,1567.13,贵州茅台
2022-11-18,sh.601012,47.9,46.12,47.0,隆基绿能
2022-11-18,sh.688598,259.34,239.0,251.8,金博股份
2022-11-18,sz.002594,259.56,253.5,254.68,比亚迪
2022-11-18,sz.300316,69.44,67.32,67.4,晶盛机电
2022-11-21,sh.600036,31.97,31.05,31.87,招商银行
2022-11-21,sh.600389,43.1,41.52,43.02,江山股份
