code,pubdate,statdate,updatedate,resstotalasset,ressnetasset,ressepschgpct,ressroewa,ressepsdiluted,ressgryoy,ressopyoy
sh.601665,2023-01-30,2022-12-31,2023-01-30,505907000000.0,29053500000.0,0.140625,11.92,0.73,0.088199,0.160097
sh.601666,2021-03-31,2020-12-31,2021-03-31,53522400000.0,15618000000.0,0.221414,9.64,0.6046,-0.053063,0.462257
sh.601666,2022-03-01,2021-12-31,2022-03-01,63908700000.0,16789200000.0,1.08932,17.09,1.2632,0.325989,0.768429
sh.601666,2023-03-13,2022-12-31,2023-03-13,74157300000.0,21757500000.0,0.957489,29.21,2.4727,0.213661,0.94085
sh.601677,2019-02-19,2018-12-31,2019-02-19,9223390000.0,5935330000.0,0.164384,8.76,0.85,0.285362,0.355432
sh.601678,2015-02-06,2014-12-31,2015-02-06,7081020000.0,4419390000.0,0.165169,8.46,0.55,0.192323,0.649864
sh.601678,2016-02-01,2015-12-31,2016-02-01,7338790000.0,4760870000.0,0.076519,9.57,0.44,-0.014864,0.253884
sh.601678,2017-01-21,2016-12-31,2017-01-21,7181340000.0,4981740000.0,-0.060764,7.41,0.3,0.0096,-0.16731
sh.601678,2018-02-10,2017-12-31,2018-02-10,7914260000.0,5711150000.0,0.393054,15.5,0.7,0.329598,1.43122
sh.601678,2018-07-10,2018-06-30,2018-07-10,10243500000.0,5916140000.0,0.064101,7.92,0.3,0.098795,0.278564
sh.601678,2019-01-26,2018-12-31,2019-01-26,10659600000.0,6132720000.0,-0.150943,11.94,0.45,0.044299,-0.114826
sh.601678,2019-07-25,2019-06-30,2019-07-25,10466700000.0,6148430000.0,-0.466667,4.04,0.16,-0.084599,-0.46563
sh.601678,2020-01-15,2019-12-31,2020-01-15,10755900000.0,6368690000.0,-0.333333,7.48,0.3,-0.087445,-0.356544
sh.601678,2020-07-30,2020-06-30,2020-07-30,13833200000.0,6498780000.0,-0.9375,0.27,0.01,-0.119366,-0.912749
sh.601678,2021-02-06,2020-12-31,2021-02-06,14186000000.0,7389730000.0,0.214286,7.62,0.34,0.046928,0.260899
sh.601678,2021-07-23,2021-06-30,2021-07-23,15677500000.0,9457690000.0,55.0,11.8,0.56,0.587509,44.2834
sh.601678,2022-03-01,2021-12-31,2022-03-01,16984600000.0,10221400000.0,1.66667,18.2,0.88,0.436339,1.88317
sh.601678,2023-02-18,2022-12-31,2023-02-18,18065600000.0,11325600000.0,-0.402062,10.77,0.58,-0.040577,-0.306882
sh.601686,2020-11-16,2019-09-30,2020-11-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sh.601686,2020-11-16,2020-09-30,2020-12-03,10004200000.0,4514560000.0,0.0,0.0,0.0,0.052033,0.0
sh.601688,2015-07-28,2015-06-30,2015-07-28,580161000000.0,77053800000.0,0.719999,15.33,1.145,3.17353,3.37407
sh.601688,2018-02-14,2017-12-31,2018-02-14,382140000000.0,87639500000.0,0.430447,10.75,1.31,0.897997,0.298383
sh.601688,2022-03-28,2021-12-31,2022-03-28,806651000000.0,148423000000.0,0.225,9.84,1.47,0.20547,0.210209
sh.601689,2021-04-06,2020-12-31,2021-04-06,12136800000.0,7781410000.0,0.372093,8.09,0.59,0.214062,0.349994
sh.601689,2022-03-15,2021-12-31,2022-03-15,18708400000.0,10639800000.0,0.583333,10.62,0.95,0.756764,0.620952
sh.601689,2023-04-10,2022-12-31,2023-04-10,27510100000.0,12129400000.0,0.655914,15.1,1.54,0.395206,0.727846
sh.601696,2021-02-06,2020-12-31,2021-02-06,53959800000.0,14999900000.0,0.0,6.2,0.32,0.11573,0.124424
sh.601698,2019-06-10,2018-03-31,2019-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sh.601698,2019-06-10,2019-03-31,2019-06-27,16667800000.0,9839710000.0,0.0,0.0,0.0,0.025252,0.048213
sh.601699,2015-03-14,2014-12-31,2015-03-14,51506200000.0,18461400000.0,-0.237656,6.05,0.43,0.019152,-0.407224
sh.601699,2015-04-28,2015-03-31,2015-04-28,52561400000.0,18786300000.0,-0.070662,0.383,0.031,0.07539,-0.767281
sh.601699,2019-08-17,2019-06-30,2019-08-17,64282600000.0,25338000000.0,0.06383,6.1,0.5,0.037034,0.226461
sh.601699,2020-04-20,2019-12-31,2020-04-20,74264200000.0,24966200000.0,-0.101124,9.5,0.8,0.004084,0.122125
sh.601699,2021-03-23,2020-12-31,2021-03-23,77400700000.0,27134800000.0,-0.1875,7.55,0.65,-0.030559,-0.108137
sh.601699,2021-08-14,2021-06-30,2021-08-14,88084600000.0,30413100000.0,1.84615,11.68,1.11,0.503411,1.94593
sh.601699,2022-03-05,2021-12-31,2022-03-05,94875000000.0,34623600000.0,2.43077,21.95,2.23,0.733247,2.92661
sh.601699,2023-03-08,2022-12-31,2023-03-08,94826900000.0,48735400000.0,1.11607,33.99,4.74,0.198027,0.873184
sh.601700,2016-02-23,2015-12-31,2016-02-23,3981690000.0,2842080000.0,0.008457,7.38,0.18,0.33613,0.058525
