证券简称,报告期,归属母公司所有者净利润(元),营业利润(元),证券代码,营业成本(元),营业收入(元),每股经营现金流量(元),净资产收益率,每股净资产(元),每股收益(元),营业利润率,毛利率
华数传媒,2023-03-31,154398951.11,156812426.46,000156,1510455480.52,2128082896.75,-0.192,1.051,7.9307,0.083327,7.369,29.02
中联重科,2023-03-31,810064655.82,932750887.64,000157,7673823347.79,10425507345.2,0.033,1.484,6.2909,0.093347,8.947,26.39
常山北明,2023-03-31,-81748331.21,-85290829.17,000158,1136081819.81,1295702855.21,-0.877,-1.393,3.6713,-0.051137,-6.583,12.32
国际实业,2023-03-31,4791564.24,13121013.94,000159,2077204733.78,2124044896.89,-0.154,0.19,5.2569,0.009968,0.618,2.21
申万宏源,2023-03-31,2010990436.36,2600825990.14,000166,,5765114214.28,1.181,2.063,3.8933,0.080311,45.113,
东方盛虹,2023-03-31,717218243.78,895580241.21,000301,25305958961.15,29534484781.56,0.353,1.969,3.7005,0.074713,3.032,14.32
美的集团,2023-03-31,8041853000.0,9584823000.0,000333,73120434000.0,96262922000.0,1.325,5.279,21.7778,1.144879,9.957,24.04
潍柴动力,2023-03-31,1855931279.89,2573854320.19,000338,43441701275.58,53434143416.55,-0.054,2.456,8.6607,0.212676,4.817,18.7
许继电气,2023-03-31,149408682.95,213826653.58,000400,2832571043.98,3263671574.37,-0.091,1.46,10.1518,0.148175,6.552,13.21
冀东水泥,2023-03-31,-792217988.91,-1004323369.25,000401,4923541797.99,5184292326.54,-0.069,-2.649,11.1414,-0.298026,-19.372,5.03
金 融 街,2023-03-31,-211134327.43,-245493979.08,000402,2320677876.44,2835207887.57,0.633,-0.56,12.619,-0.070639,-8.659,18.15
派林生物,2023-03-31,56376087.53,63173481.12,000403,134577337.57,260860262.39,0.146,0.813,9.4629,0.076971,24.217,48.41
长虹华意,2023-03-31,62948669.75,99748120.68,000404,3861509730.52,4237222935.89,-0.584,1.718,5.2658,0.090444,2.354,8.87
胜利股份,2023-03-31,22715927.41,54064680.87,000407,1084823527.62,1251644916.93,-0.167,0.825,3.1275,0.025811,4.319,13.33
藏格矿业,2023-03-31,920597301.86,1094886845.43,000408,424821228.94,1373645973.66,0.186,7.965,7.3135,0.582496,79.707,69.07
云鼎科技,2023-03-31,23465283.19,40383960.99,000409,160896427.01,255163998.18,-0.145,1.662,2.1252,0.035328,15.827,36.94
